Page Rank, d=0.75

File: NCAA_football.csv
Read Time:       1025.374ms
Processing Time: 167.216ms
N Iterations:    31

 Rank                        Node  PageRank
  278                 Adams State  0.000772
  279        Texas A&M-Kingsville  0.000772
  280       East Central Oklahoma  0.000772
  281                     Lambuth  0.000772
  282           Southwest Baptist  0.000772
  283                     Shorter  0.000772
  284        Webber International  0.000772
  285             Southern Oregon  0.000772
  286   Concordia University (WI)  0.000772
  287         Wisconsin-La Crosse  0.000772
  288                   Merrimack  0.000772
  289           Concordia College  0.000772
  290               Azusa Pacific  0.000772
  291                    Carthage  0.000772
  292       Southeastern Oklahoma  0.000772
  293                   Morehouse  0.000772
  294                    Faulkner  0.000772
  295                Missouri S&T  0.000772
  296               Indiana State  0.000772
  297                  Upper Iowa  0.000772
  298               Clark Atlanta  0.000772
  299          Western Washington  0.000772
  300                  Assumption  0.000772
  301              Virginia State  0.000772
  302               Johnson Smith  0.000772
  303                        Pace  0.000772
  304          Central Washington  0.000772
  305                 Delta State  0.000772
  306                      Quincy  0.000772
  307               Texas College  0.000772
  308             Glenville State  0.000772
  309        New Mexico Highlands  0.000772
  310                    Benedict  0.000772
  311               Central State  0.000772
  312                  Washington  0.000772
  313              Humboldt State  0.000772
  314                West Chester  0.000772
  315       Cumberland University  0.000772
  316            Baker University  0.000772
  317                    Stillman  0.000772
  318             St. Cloud State  0.000772
  319            St. Francis (PA)  0.000772
  320             Delaware Valley  0.000772
  321  Southern Connecticut State  0.000772
  322                      Albion  0.000772
  323             Bentley College  0.000772
  324                 St. Ambrose  0.000772
