Page Rank, d=0.25

File: NCAA_football.csv
Read Time:       868.828ms
Processing Time: 146.919ms
N Iterations:    9

 Rank                        Node  PageRank
  216                    Michigan  0.002643
  217                        Army  0.002641
  218              Missouri State  0.002634
  219                        UCLA  0.002628
  220            New Mexico State  0.002623
  221                  Miami (OH)  0.002608
  222                    Syracuse  0.002603
  223                      Towson  0.002601
  224                      Wagner  0.002597
  225              Illinois State  0.002573
  226                  Utah State  0.002559
  227                  Iowa State  0.002553
  228                      Toledo  0.002527
  229          Southern Methodist  0.002505
  230                 Austin Peay  0.002500
  231                    Franklin  0.002499
  232                Northeastern  0.002495
  233                    Columbia  0.002490
  234                      Rhodes  0.002488
  235                Alcorn State  0.002487
  236                  Georgetown  0.002478
  237            Washington State  0.002477
  238             San Diego State  0.002473
  239                 Idaho State  0.002466
  240                      Tulane  0.002457
  241               Edward Waters  0.002456
  242                      Howard  0.002456
  243                       Idaho  0.002444
  244              Wesley College  0.002442
  245          Fayetteville State  0.002419
  246                    Tuskegee  0.002416
  247                      Marian  0.002411
  248            St. Francis (IL)  0.002411
  249                    Washburn  0.002409
  250             Henderson State  0.002400
  251         Arkansas-Monticello  0.002400
  252                   Stonehill  0.002396
  253                   Methodist  0.002387
  254         Birmingham Southern  0.002387
  255                 North Texas  0.002381
  256           Northern Colorado  0.002371
  257                Angelo State  0.002315
  258                   Morehouse  0.002315
  259       Southeastern Oklahoma  0.002315
  260             Culver-Stockton  0.002315
  261                      Chowan  0.002315
  262                    Carthage  0.002315
  263                   Dartmouth  0.002315
  264               Clark Atlanta  0.002315
  265                        Shaw  0.002315
  266                 Dixie State  0.002315
  267                   Mars Hill  0.002315
  268                Missouri S&T  0.002315
  269            North Greenville  0.002315
  270           Southern Virginia  0.002315
  271                    Langston  0.002315
  272        Webber International  0.002315
  273                        Pace  0.002315
  274           Central Methodist  0.002315
  275                 Adams State  0.002315
  276          Western Washington  0.002315
  277                  Assumption  0.002315
  278              Virginia State  0.002315
  279               Johnson Smith  0.002315
  280               Texas College  0.002315
  281              Western Oregon  0.002315
  282          Texas A&M-Commerce  0.002315
  283           Concordia College  0.002315
  284               Azusa Pacific  0.002315
  285                 Delta State  0.002315
  286                      Quincy  0.002315
  287                    Faulkner  0.002315
  288             Glenville State  0.002315
  289        New Mexico Highlands  0.002315
  290                    Benedict  0.002315
  291                    Tusculum  0.002315
  292       Cumberland University  0.002315
  293           Kentucky Wesleyan  0.002315
  294             Montana-Western  0.002315
  295                West Georgia  0.002315
  296        Texas A&M-Kingsville  0.002315
  297                     Lambuth  0.002315
  298          Central Washington  0.002315
  299                     Shorter  0.002315
  300           Southwest Baptist  0.002315
  301       East Central Oklahoma  0.002315
  302               Indiana State  0.002315
  303                Lincoln (MO)  0.002315
  304                Lenoir-Rhyne  0.002315
  305                William Penn  0.002315
  306                 Livingstone  0.002315
  307               Central State  0.002315
  308                  Washington  0.002315
  309              Humboldt State  0.002315
  310                 St. Ambrose  0.002315
  311                  Upper Iowa  0.002315
  312            Baker University  0.002315
  313                   Merrimack  0.002315
  314             St. Cloud State  0.002315
  315            St. Francis (PA)  0.002315
  316             Delaware Valley  0.002315
  317  Southern Connecticut State  0.002315
  318                      Albion  0.002315
  319             Bentley College  0.002315
  320                West Chester  0.002315
  321             Southern Oregon  0.002315
  322   Concordia University (WI)  0.002315
  323         Wisconsin-La Crosse  0.002315
  324                    Stillman  0.002315
