Page Rank, d=0.50

File: NCAA_football.csv
Read Time:       777.636ms
Processing Time: 116.965ms
N Iterations:    15

 Rank                        Node  PageRank
  267             Culver-Stockton  0.001543
  268                        Pace  0.001543
  269                Angelo State  0.001543
  270            North Greenville  0.001543
  271          Texas A&M-Commerce  0.001543
  272                    Langston  0.001543
  273           Central Methodist  0.001543
  274        Webber International  0.001543
  275                 Adams State  0.001543
  276          Western Washington  0.001543
  277                  Assumption  0.001543
  278              Virginia State  0.001543
  279               Johnson Smith  0.001543
  280               Texas College  0.001543
  281              Western Oregon  0.001543
  282           Southern Virginia  0.001543
  283           Concordia College  0.001543
  284               Azusa Pacific  0.001543
  285                 Delta State  0.001543
  286                      Quincy  0.001543
  287                    Faulkner  0.001543
  288             Glenville State  0.001543
  289        New Mexico Highlands  0.001543
  290                    Benedict  0.001543
  291                    Tusculum  0.001543
  292       Cumberland University  0.001543
  293           Kentucky Wesleyan  0.001543
  294             Montana-Western  0.001543
  295                West Georgia  0.001543
  296        Texas A&M-Kingsville  0.001543
  297                     Lambuth  0.001543
  298          Central Washington  0.001543
  299                     Shorter  0.001543
  300           Southwest Baptist  0.001543
  301       East Central Oklahoma  0.001543
  302               Indiana State  0.001543
  303                Lincoln (MO)  0.001543
  304                Lenoir-Rhyne  0.001543
  305                William Penn  0.001543
  306                 Livingstone  0.001543
  307               Central State  0.001543
  308                  Washington  0.001543
  309              Humboldt State  0.001543
  310                 St. Ambrose  0.001543
  311                  Upper Iowa  0.001543
  312            Baker University  0.001543
  313                   Merrimack  0.001543
  314             St. Cloud State  0.001543
  315            St. Francis (PA)  0.001543
  316             Delaware Valley  0.001543
  317  Southern Connecticut State  0.001543
  318                      Albion  0.001543
  319             Bentley College  0.001543
  320                West Chester  0.001543
  321             Southern Oregon  0.001543
  322   Concordia University (WI)  0.001543
  323         Wisconsin-La Crosse  0.001543
  324                    Stillman  0.001543
